Symbols,Brexit,2_years_later,Gain/(loss),% Gain/(loss)
SKG.L,2360.54248046875,3886.0,1525.45751953125,64.62317590778238
SMDS.L,324.37493896484375,376.0,51.62506103515625,15.915243390843905
SMIN.L,1604.7353515625,1550.5,-54.2353515625,-3.379706909908358
SMT.L,577.2001342773438,1079.0,501.79986572265625,86.93689344873614
SMWH.L,2392.0,1648.0,-744.0,-31.103678929765888
SN.L,1747.9757080078125,1253.5,-494.4757080078125,-28.288477107692305
SOI.L,218.37246704101562,269.0,50.627532958984375,23.184027567667357
SONG.L,106.71428680419922,118.19999694824219,11.485710144042969,10.76304821782401
SPI.L,127.37320709228516,237.5,110.12679290771484,86.45993566600325
SPT.L,211.3883514404297,246.39999389648438,35.01164245605469,16.562711340279858
SPX.L,8707.3515625,13255.0,4547.6484375,52.227688348835976
SRE.L,84.37834167480469,129.1999969482422,44.8216552734375,53.11985799173535
SRP.L,154.39669799804688,133.8000030517578,-20.596694946289062,-13.340113625065744
SSE.L,1352.4599609375,1582.5,230.0400390625,17.00900919115125
SSON.L,1294.0,1670.0,376.0,29.057187017001546
SSPG.L,526.4925537109375,272.79998779296875,-253.69256591796875,-48.18540435754286
STAN.L,584.2496948242188,528.3978881835938,-55.851806640625,-9.559578230918708
STJ.L,1025.4927978515625,1518.0,492.5072021484375,48.026393084403374
SUPR.L,96.63899993896484,119.0,22.361000061035156,23.138691496350226
SVS.L,1197.8934326171875,1343.0,145.1065673828125,12.113478831399888
SVT.L,2380.869384765625,2873.0,492.130615234375,20.670206370133183
SXS.L,2382.258056640625,3366.0,983.741943359375,41.29451637773502
SYNC.L,214.0,190.0,-24.0,-11.214953271028037
SYNT.L,311.7298583984375,364.6000061035156,52.870147705078125,16.96024499440222
TATE.L,881.27099609375,824.1331176757812,-57.13787841796875,-6.4835764108013825
TBCG.L,1109.9300537109375,1410.0,300.0699462890625,27.035032098266853
TCAP.L,321.8763427734375,140.1999969482422,-181.6763458251953,-56.442901102885266
TEM.L,126.92298126220703,173.60000610351562,46.677024841308594,36.77586547142293
TEP.L,1390.209716796875,1502.0,111.790283203125,8.041253190252215
TFIF.L,100.05682373046875,115.5,15.44317626953125,15.434405864343443
THRG.L,666.8424682617188,825.8435668945312,159.0010986328125,23.843877107480292
THRL.L,106.69389343261719,113.06153869628906,6.367645263671875,5.968144060365909
TIFS.L,221.94552612304688,237.0,15.054473876953125,6.782958926870599
TLW.L,50.84000015258789,49.779998779296875,-1.0600013732910156,-2.0849751575719826
TMPL.L,165.9356689453125,242.39999389648438,76.46432495117188,46.08070430979626
TPK.L,1374.295654296875,1487.5,113.204345703125,8.237262873471229
TRIG.L,117.4267578125,131.6604461669922,14.233688354492188,12.121333007609463
TRN.L,472.0,224.0,-248.0,-52.54237288135594
TRY.L,444.34521484375,491.0,46.65478515625,10.49967088599249
TSCO.L,240.29843139648438,297.0,56.701568603515625,23.596312416188823
TUI.L,579.6930541992188,198.9971923828125,-380.69586181640625,-65.67197227199748
TW.L,183.6136932373047,150.8000030517578,-32.813690185546875,-17.871047418635623
UKCM.L,80.06449890136719,80.95906829833984,0.8945693969726562,1.1173109296227426
UKW.L,126.62887573242188,140.0200653076172,13.391189575195312,10.575146859466788
ULVR.L,4191.18115234375,3752.009521484375,-439.171630859375,-10.478469312016873
