Ticker,Name,Market,
MKS,MARKS & SPENCER GROUP PLC ORD 1P,FTSE 250,
MNDI,MONDI PLC ORD EUR 0.20,FTSE 100,
MNG,M&G PLC ORD £0.05,FTSE 100,
MNKS,MONKS INV TST PLC ORD 5P,FTSE 250,
MONY,MONEYSUPERMARKET.COM GROUP PLC ORD 0.02P,FTSE 250,
MOON,MOONPIG GROUP PLC ORD 10P,FTSE 250,
MRC,MERCANTILE INVESTMENT TST (THE) PLC ORD 2.5P,FTSE 250,
MRCH,MERCHANTS TRUST PLC ORD 25P,FTSE 250,
MRO,MELROSE INDUSTRIES PLC ORDS 160/21P,FTSE 100,
MSLH,MARSHALLS PLC ORD 25P,FTSE 250,
MTO,MITIE GROUP PLC ORD 2.5P,FTSE 250,
MUT,MURRAY INCOME TRUST PLC ORD 25P,FTSE 250,
MYI,MURRAY INTERNATIONAL TRUST PLC ORD 25P,FTSE 250,
N91,NINETY ONE PLC ORD £0.0001,FTSE 250,
NBPE,NB PRIVATE EQUITY PARTNERS LD ORD USD0.01,FTSE 250,
NCC,NCC GROUP PLC ORD 1P,FTSE 250,
NESF,NEXTENERGY SOLAR FUND LIMITED RED ORD NPV,FTSE 250,
NETW,NETWORK INTERNATIONAL HOLDINGS PLC ORD 10P,FTSE 250,
NEX,NATIONAL EXPRESS GROUP PLC ORD 5P,FTSE 250,
NG.,NATIONAL GRID PLC ORD 12 204/473P,FTSE 100,
NWG,NATWEST GROUP PLC ORD 107.69P,FTSE 100,
NXT,NEXT PLC ORD 10P,FTSE 100,
OCDO,OCADO GROUP PLC ORD 2P,FTSE 100,
OSB,OSB GROUP PLC ORD 1P,FTSE 250,
OXIG,OXFORD INSTRUMENTS PLC ORD 5P,FTSE 250,
PAG,PARAGON BANKING GROUP PLC ORD 100P,FTSE 250,
PAGE,PAGEGROUP PLC ORD 1P,FTSE 250,
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC ORD 25P,FTSE 250,
PETS,PETS AT HOME GROUP PLC ORD 1P,FTSE 250,
PFC,PETROFAC LD ORD USD0.02,FTSE 250,
PFD,PREMIER FOODS PLC ORD 10P,FTSE 250,
PHLL,PETERSHILL PARTNERS PLC ORD USD0.01,FTSE 250,
PHNX,PHOENIX GROUP HOLDINGS PLC ORD 10P,FTSE 100,
PHP,PRIMARY HEALTH PROPERTIES PLC ORD 12.5P,FTSE 250,
PIN,PANTHEON INTERNATIONAL PLC ORD 6.7P,FTSE 250,
PLUS,PLUS500 LTD ORD ILS0.01 (DI),FTSE 250,
PNL,PERSONAL ASSETS TRUST PLC ORD GBP0.125,FTSE 250,
PNN,PENNON GROUP PLC ORD 61 1/20P,FTSE 250,
PRTC,PURETECH HEALTH PLC ORD 1P,FTSE 250,
PRU,PRUDENTIAL PLC ORD 5P,FTSE 100,
PSH,PERSHING SQUARE HOLDINGS LTD ORD NPV,FTSE 100,
PSN,PERSIMMON PLC ORD 10P,FTSE 100,
PSON,PEARSON PLC ORD 25P,FTSE 100,
PTEC,PLAYTECH PLC ORD NPV,FTSE 250,
PZC,PZ CUSSONS PLC ORD 1P,FTSE 250,
QLT,QUILTER PLC ORD 8 1/6P,FTSE 250,
QQ.,QINETIQ GROUP PLC ORD 1P,FTSE 250,
RAT,RATHBONES GROUP PLC ORD 5P,FTSE 250,
RCP,RIT CAPITAL PARTNERS PLC ORD £1,FTSE 250,
RDW,REDROW PLC ORD 10.5P,FTSE 250,
REDD,REDDE NORTHGATE PLC ORD 50P,FTSE 250,
REL,RELX PLC ORD 14 51/116P,FTSE 100,
RHIM,RHI MAGNESITA N.V. ORD EUR1.00 (DI),FTSE 250,
RICA,RUFFER INVESTMENT COMPANY LD RED PTG PREF SHS 0.01P,FTSE 250,
RIO,RIO TINTO PLC ORD 10P,FTSE 100,
